item_id,rack,slot,x,y
ITEM_1_1,R1,S1,100.0,100.0
ITEM_1_2,R1,S2,100.0,180.0
ITEM_1_3,R1,S3,100.0,260.0
ITEM_1_4,R1,S4,100.0,340.0
ITEM_1_5,R1,S5,100.0,420.0
ITEM_1_6,R1,S6,100.0,500.0
ITEM_2_1,R2,S1,220.0,100.0
ITEM_2_2,R2,S2,220.0,180.0
ITEM_2_3,R2,S3,220.0,260.0
ITEM_2_4,R2,S4,220.0,340.0
ITEM_2_5,R2,S5,220.0,420.0
ITEM_2_6,R2,S6,220.0,500.0
ITEM_3_1,R3,S1,340.0,100.0
ITEM_3_2,R3,S2,340.0,180.0
ITEM_3_3,R3,S3,340.0,260.0
ITEM_3_4,R3,S4,340.0,340.0
ITEM_3_5,R3,S5,340.0,420.0
ITEM_3_6,R3,S6,340.0,500.0
ITEM_4_1,R4,S1,460.0,100.0
ITEM_4_2,R4,S2,460.0,180.0
ITEM_4_3,R4,S3,460.0,260.0
ITEM_4_4,R4,S4,460.0,340.0
ITEM_4_5,R4,S5,460.0,420.0
ITEM_4_6,R4,S6,460.0,500.0
ITEM_5_1,R5,S1,580.0,100.0
ITEM_5_2,R5,S2,580.0,180.0
ITEM_5_3,R5,S3,580.0,260.0
ITEM_5_4,R5,S4,580.0,340.0
ITEM_5_5,R5,S5,580.0,420.0
ITEM_5_6,R5,S6,580.0,500.0
ITEM_6_1,R6,S1,100.0,550.0
ITEM_6_2,R6,S2,220.0,550.0
ITEM_6_3,R6,S3,340.0,550.0
ITEM_6_4,R6,S4,460.0,550.0
ITEM_6_5,R6,S5,580.0,550.0
ITEM_6_6,R6,S6,700.0,550.0
